index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",35307,2009,12,31082.477277369282,30850.375,37.811072031567164
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",33928,2010,1,30697.529360702614,30927.958333333332,-427.4698063794822
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",33128,2010,2,30658.617902369282,31052.458333333336,-545.4607214880234
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",33618,2010,3,31162.34446486928,31196.958333333336,-119.52021202754986
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",31525,2010,4,31245.123110702614,31342.375000000007,-113.19010792968402
28,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",28496,2010,5,31321.433006535946,31496.208333333336,-111.94621273554367
29,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",27872,2010,6,30631.44081903595,31668.875,-875.5759566057532
30,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",29798,2010,7,31632.90512663399,31858.041666666664,53.72600584625252
31,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",30044,2010,8,32228.206597222223,32067.416666666668,578.3938654551603
32,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",29252,2010,9,32433.98600898693,32301.124999999996,715.121508797256
33,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",31402,2010,10,32614.427798202614,32521.875,828.1420176214306
34,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",34482,2010,11,33143.50852736928,32724.833333333332,1291.4750819891997
35,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",37656,2010,12,33431.47727736928,32948.916666666664,1515.4065203597202
36,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",36119,2011,1,32888.52936070261,33169.875,910.1584177242767
37,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",35962,2011,2,33492.61790236928,33347.291666666664,1453.6989786226295
38,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",36393,2011,3,33937.34446486928,33514.70833333333,1839.6378222672065
39,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",34048,2011,4,33768.12311070262,33696.33333333333,1613.3858510573555
40,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",30844,2011,5,33669.433006535946,33880.58333333333,1459.4048768227767
41,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",30902,2011,6,33661.440819035946,34033.83333333333,1397.8317624282936
42,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",32071,2011,7,33905.90512663399,34148.0,1590.3840216632998
43,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",32029,2011,8,34213.20659722222,34243.70833333333,1847.390472039042
44,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",31285,2011,9,34466.986008986925,34318.45833333333,2052.427769879254
45,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",33728,2011,10,34940.42779820261,34361.5,2478.6019750397827
46,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",36578,2011,11,35239.50852736928,34412.99999999999,2731.795436967932
47,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",39238,2011,12,35013.47727736928,34479.83333333333,2461.143898478127
48,2012-01-01,2012-01-01,1,"Agriculture, forestry and fishing",37277,2012,1,34046.52936070261,34415.91666666666,1450.708255333946
49,2012-02-01,2012-02-01,1,"Agriculture, forestry and fishing",37101,2012,2,34631.61790236928,34225.70833333333,1993.2882254910946
50,2012-03-01,2012-03-01,1,"Agriculture, forestry and fishing",37048,2012,3,34592.34446486928,33998.416666666664,1912.3207706687135
51,2012-04-01,2012-04-01,1,"Agriculture, forestry and fishing",34426,2012,4,34146.12311070262,33732.58333333333,1425.0399722755392
52,2012-05-01,2012-05-01,1,"Agriculture, forestry and fishing",31702,2012,5,34527.433006535946,33407.125,1765.7302603254866
53,2012-06-01,2012-06-01,1,"Agriculture, forestry and fishing",31648,2012,6,34407.440819035946,33011.583333333336,1605.352569153678
54,2012-07-01,2012-07-01,1,"Agriculture, forestry and fishing",29791,2012,7,31625.90512663399,32694.791666666668,-1216.5538796019391
55,2012-08-01,2012-08-01,1,"Agriculture, forestry and fishing",29744,2012,8,31928.206597222223,32440.125000000004,-954.8401618223397
56,2012-09-01,2012-09-01,1,"Agriculture, forestry and fishing",28115,2012,9,31296.98600898693,32173.875,-1627.0878561045502
57,2012-10-01,2012-10-01,1,"Agriculture, forestry and fishing",30518,2012,10,31730.427798202614,31961.583333333332,-1235.3275153635368
58,2012-11-01,2012-11-01,1,"Agriculture, forestry and fishing",31977,2012,11,30638.508527369282,31769.624999999993,-2369.7850115985348
59,2012-12-01,2012-12-01,1,"Agriculture, forestry and fishing",34346,2012,12,30121.477277369282,31550.749999999996,-2930.404166578315
60,2013-01-01,2013-01-01,1,"Agriculture, forestry and fishing",34566,2013,1,31335.529360702614,31417.208333333332,-1761.1642850758326
61,2013-02-01,2013-02-01,1,"Agriculture, forestry and fishing",33700,2013,2,31230.617902369282,31413.999999999996,-1912.2642482207666
62,2013-03-01,2013-03-01,1,"Agriculture, forestry and fishing",34059,2013,3,31603.34446486928,31424.791666666664,-1587.2409104122162
63,2013-04-01,2013-04-01,1,"Agriculture, forestry and fishing",32320,2013,4,32040.123110702614,31370.208333333332,-1199.8038709238936
64,2013-05-01,2013-05-01,1,"Agriculture, forestry and fishing",29201,2013,5,32026.433006535946,31289.541666666668,-1264.5853776336007
65,2013-06-01,2013-06-01,1,"Agriculture, forestry and fishing",28896,2013,6,31655.44081903595,31260.041666666664,-1688.520920673207
66,2013-07-01,2013-07-01,1,"Agriculture, forestry and fishing",29338,2013,7,31172.90512663399,31218.041666666664,-2225.944320806673
67,2013-08-01,2013-08-01,1,"Agriculture, forestry and fishing",30120,2013,8,32304.206597222223,31142.499999999996,-1151.554280626351
68,2013-09-01,2013-09-01,1,"Agriculture, forestry and fishing",27998,2013,9,31179.98600898693,31082.291666666664,-2334.772216934176
69,2013-10-01,2013-10-01,1,"Agriculture, forestry and fishing",29325,2013,10,30537.427798202614,31019.291666666664,-3038.467002994159
70,2013-11-01,2013-11-01,1,"Agriculture, forestry and fishing",31234,2013,11,29895.508527369282,30971.70833333333,-3743.6973706270874
71,2013-12-01,2013-12-01,1,"Agriculture, forestry and fishing",34381,2013,12,30156.477277369282,30965.749999999996,-3548.226088309959
72,2014-01-01,2014-01-01,1,"Agriculture, forestry and fishing",33523,2014,1,30292.529360702614,31188.95833333333,-3479.8408063483257
73,2014-02-01,2014-02-01,1,"Agriculture, forestry and fishing",32930,2014,2,30460.617902369282,31587.041666666664,-3381.5439842600026
74,2014-03-01,2014-03-01,1,"Agriculture, forestry and fishing",33384,2014,3,30928.34446486928,31966.083333333332,-2985.6627934392927
75,2014-04-01,2014-04-01,1,"Agriculture, forestry and fishing",31483,2014,4,31203.123110702614,32419.333333333332,-2784.685813120126
76,2014-05-01,2014-05-01,1,"Agriculture, forestry and fishing",28896,2014,5,31721.433006535946,32967.208333333336,-2342.0134808482253
77,2014-06-01,2014-06-01,1,"Agriculture, forestry and fishing",29058,2014,6,31817.44081903595,33521.958333333336,-2323.3372473960444
78,2014-07-01,2014-07-01,1,"Agriculture, forestry and fishing",34533,2014,7,36367.90512663399,34036.0,2148.2614193203262
79,2014-08-01,2014-08-01,1,"Agriculture, forestry and fishing",34479,2014,8,36663.20659722222,34540.541666666664,2363.3410678305227
80,2014-09-01,2014-09-01,1,"Agriculture, forestry and fishing",32736,2014,9,35917.986008986925,35004.875,1536.7037808670866
81,2014-10-01,2014-10-01,1,"Agriculture, forestry and fishing",35465,2014,10,36677.42779820261,35436.041666666664,2213.677063594405
82,2014-11-01,2014-11-01,1,"Agriculture, forestry and fishing",38243,2014,11,36904.50852736928,35860.791666666664,2357.3686901200927
83,2014-12-01,2014-12-01,1,"Agriculture, forestry and fishing",40686,2014,12,36461.47727736928,36286.875,1830.1418720925794
84,2015-01-01,2015-01-01,1,"Agriculture, forestry and fishing",39555,2015,1,36324.52936070261,36387.125,1608.2878632047286
85,2015-02-01,2015-02-01,1,"Agriculture, forestry and fishing",39007,2015,2,36537.61790236928,36135.666666666664,1735.8416081843607
86,2015-03-01,2015-03-01,1,"Agriculture, forestry and fishing",38451,2015,3,35995.34446486928,35900.125,1107.4740796306942
87,2015-04-01,2015-04-01,1,"Agriculture, forestry and fishing",36764,2015,4,36484.12311070262,35621.25,1509.6553563033885
88,2015-05-01,2015-05-01,1,"Agriculture, forestry and fishing",33809,2015,5,36634.433006535946,35247.416666666664,1572.9120758040663
89,2015-06-01,2015-06-01,1,"Agriculture, forestry and fishing",34371,2015,6,37130.440819035946,34883.33333333333,1981.446727159091
90,2015-07-01,2015-07-01,1,"Agriculture, forestry and fishing",31626,2015,7,33460.90512663399,34771.45833333332,-1775.9584255077352
91,2015-08-01,2015-08-01,1,"Agriculture, forestry and fishing",31351,2015,8,33535.20659722222,34887.12499999999,-1789.9143175526406
92,2015-09-01,2015-09-01,1,"Agriculture, forestry and fishing",30211,2015,9,33392.986008986925,35022.08333333333,-2020.7580706547815
93,2015-10-01,2015-10-01,1,"Agriculture, forestry and fishing",31297,2015,10,32509.427798202614,35140.62499999999,-2993.2693373378534
94,2015-11-01,2015-11-01,1,"Agriculture, forestry and fishing",33439,2015,11,32100.508527369282,35234.041666666664,-3491.420051631001
95,2015-12-01,2015-12-01,1,"Agriculture, forestry and fishing",36752,2015,12,32527.477277369282,35326.5,-3153.886532966986
96,2016-01-01,2016-01-01,1,"Agriculture, forestry and fishing",40804,2016,1,37573.52936070261,35378.208333333336,1802.6280708085978
97,2016-02-01,2016-02-01,1,"Agriculture, forestry and fishing",40534,2016,2,38064.61790236928,35418.70833333333,2204.2027598944187
98,2016-03-01,2016-03-01,1,"Agriculture, forestry and fishing",40163,2016,3,37707.34446486928,35484.24999999999,1757.55106282192
99,2016-04-01,2016-04-01,1,"Agriculture, forestry and fishing",37897,2016,4,37617.12311070262,35577.0,1578.1820003851972
100,2016-05-01,2016-05-01,1,"Agriculture, forestry and fishing",34918,2016,5,37743.433006535946,35725.958333333336,1615.6561361942368
101,2016-06-01,2016-06-01,1,"Agriculture, forestry and fishing",35481,2016,6,38240.440819035946,35862.62499999999,2024.2093565287942
102,2016-07-01,2016-07-01,1,"Agriculture, forestry and fishing",31757,2016,7,33591.90512663399,35927.95833333333,-2712.3430070492177
103,2016-08-01,2016-08-01,1,"Agriculture, forestry and fishing",32192,2016,8,34376.20659722222,35948.416666666664,-2015.5791524164597
104,2016-09-01,2016-09-01,1,"Agriculture, forestry and fishing",30943,2016,9,34124.986008986925,35936.95833333332,-2353.7962385828796
105,2016-10-01,2016-10-01,1,"Agriculture, forestry and fishing",32791,2016,10,34003.42779820261,35898.99999999999,-2561.732214161915
106,2016-11-01,2016-11-01,1,"Agriculture, forestry and fishing",35520,2016,11,34181.50852736928,35861.33333333332,-2469.3147395334818
107,2016-12-01,2016-12-01,1,"Agriculture, forestry and fishing",37951,2016,12,33726.47727736928,35848.12499999999,-3009.1791902428595
108,2017-01-01,2017-01-01,1,"Agriculture, forestry and fishing",41173,2017,1,37942.52936070261,36054.83333333333,1123.0043431367667
109,2017-02-01,2017-02-01,1,"Agriculture, forestry and fishing",40656,2017,2,38186.61790236928,36440.41666666666,1284.346801507476
110,2017-03-01,2017-03-01,1,"Agriculture, forestry and fishing",39766,2017,3,37310.34446486928,36812.37499999999,326.5988981143164
111,2017-04-01,2017-04-01,1,"Agriculture, forestry and fishing",37383,2017,4,37103.12311070262,37192.62499999999,39.31393611904059
112,2017-05-01,2017-05-01,1,"Agriculture, forestry and fishing",34528,2017,5,37353.433006535946,37582.83333333333,211.10780279681057
113,2017-06-01,2017-06-01,1,"Agriculture, forestry and fishing",35554,2017,6,38313.440819035946,38048.875,1094.2835820745604
114,2017-07-01,2017-07-01,1,"Agriculture, forestry and fishing",36645,2017,7,38479.90512663399,38412.45833333333,1185.7346407256991
115,2017-08-01,2017-08-01,1,"Agriculture, forestry and fishing",36558,2017,8,38742.20659722222,38590.75,1374.9679914382286
116,2017-09-01,2017-09-01,1,"Agriculture, forestry and fishing",35504,2017,9,38685.986008986925,38768.16666666667,1247.7416080072726
117,2017-10-01,2017-10-01,1,"Agriculture, forestry and fishing",37356,2017,10,38568.42779820261,38981.0,1061.3465129952383
118,2017-11-01,2017-11-01,1,"Agriculture, forestry and fishing",40320,2017,11,38981.50852736928,39195.208333333336,1407.8562275541844
119,2017-12-01,2017-12-01,1,"Agriculture, forestry and fishing",44336,2017,12,40111.47727736928,39361.833333333336,2473.6086018163987
120,2018-01-01,2018-01-01,1,"Agriculture, forestry and fishing",43514,2018,1,40283.52936070261,39514.375,2583.876854443668
121,2018-02-01,2018-02-01,1,"Agriculture, forestry and fishing",42594,2018,2,40124.61790236928,39492.583333333336,2365.6729301116575
122,2018-03-01,2018-03-01,1,"Agriculture, forestry and fishing",42086,2018,3,39630.34446486928,39269.791666666664,1814.6372736745907
123,2018-04-01,2018-04-01,1,"Agriculture, forestry and fishing",40171,2018,4,39891.12311070262,39051.50000000001,2021.2045763375645
124,2018-05-01,2018-05-01,1,"Agriculture, forestry and fishing",36881,2018,5,39706.433006535946,38826.791666666664,1784.8606316415244
125,2018-06-01,2018-06-01,1,"Agriculture, forestry and fishing",37200,2018,6,39959.440819035946,38569.54166666667,1988.7631374131088
126,2018-07-01,2018-07-01,1,"Agriculture, forestry and fishing",38660,2018,7,40494.90512663399,38285.41666666667,2477.6479311708754
127,2018-08-01,2018-08-01,1,"Agriculture, forestry and fishing",34020,2018,8,36204.20659722222,37983.37499999999,-1857.1424055004318
128,2018-09-01,2018-09-01,1,"Agriculture, forestry and fishing",32695,2018,9,35876.986008986925,37849.958333333336,-2226.02429837572
129,2018-10-01,2018-10-01,1,"Agriculture, forestry and fishing",34926,2018,10,36138.42779820261,37871.58333333333,-2003.8561853391366
130,2018-11-01,2018-11-01,1,"Agriculture, forestry and fishing",37357,2018,11,36018.50852736928,37880.45833333333,-2160.687201935907
131,2018-12-01,2018-12-01,1,"Agriculture, forestry and fishing",41125,2018,12,36900.47727736928,37872.916666666664,-1313.278503475667
132,2019-01-01,2019-01-01,1,"Agriculture, forestry and fishing",39906,2019,1,36675.52936070261,37891.208333333336,-1570.4283416812104
133,2019-02-01,2019-02-01,1,"Agriculture, forestry and fishing",38953,2019,2,36483.61790236928,38134.49999999999,-1792.167022453541
134,2019-03-01,2019-03-01,1,"Agriculture, forestry and fishing",42525,2019,3,40069.34446486928,38497.0,1766.1357033089516
135,2019-04-01,2019-04-01,1,"Agriculture, forestry and fishing",40251,2019,4,39971.12311070262,38807.41666666667,1642.9364131571492
136,2019-05-01,2019-05-01,1,"Agriculture, forestry and fishing",37014,2019,5,39839.433006535946,39139.916666666664,1488.7431612182772
137,2019-06-01,2019-06-01,1,"Agriculture, forestry and fishing",36886,2019,6,39645.440819035946,39468.375,1274.7388246410992
138,2019-07-01,2019-07-01,1,"Agriculture, forestry and fishing",39413,2019,7,41247.90512663399,39585.791666666664,2859.686705123335
139,2019-08-01,2019-08-01,1,"Agriculture, forestry and fishing",39106,2019,8,41290.20659722222,39512.25,2886.962357875753
140,2019-09-01,2019-09-01,1,"Agriculture, forestry and fishing",36309,2019,9,39490.986008986925,39275.29166666667,1075.1793829194285
141,2019-10-01,2019-10-01,1,"Agriculture, forestry and fishing",38762,2019,10,39974.42779820261,38824.875,1548.4727624195148
142,2019-11-01,2019-11-01,1,"Agriculture, forestry and fishing",41501,2019,11,40162.50852736928,38375.208333333336,1728.7613086294587
143,2019-12-01,2019-12-01,1,"Agriculture, forestry and fishing",44864,2019,12,40639.47727736928,37977.916666666664,2200.2244040927108
144,2020-01-01,2020-01-01,1,"Agriculture, forestry and fishing",38985,2020,1,35754.52936070261,37563.333333333336,-2688.0256762372155
145,2020-02-01,2020-02-01,1,"Agriculture, forestry and fishing",38109,2020,2,35639.61790236928,37141.66666666667,-2804.1358219469766
146,2020-03-01,2020-03-01,1,"Agriculture, forestry and fishing",37682,2020,3,35226.34446486928,36815.083333333336,-3216.583744184405
147,2020-04-01,2020-04-01,1,"Agriculture, forestry and fishing",34284,2020,4,34004.12311070262,36619.5,-4436.013017246798
148,2020-05-01,2020-05-01,1,"Agriculture, forestry and fishing",32189,2020,5,35014.433006535946,36537.416666666664,-3420.977291945812
149,2020-06-01,2020-06-01,1,"Agriculture, forestry and fishing",32176,2020,6,34935.440819035946,36525.166666666664,-3493.308490597563
150,2020-07-01,2020-07-01,1,"Agriculture, forestry and fishing",34173,2020,7,36007.90512663399,36685.08333333333,-2412.2202273237417
151,2020-08-01,2020-08-01,1,"Agriculture, forestry and fishing",34226,2020,8,36410.20659722222,37005.958333333336,-1999.2770722444475
152,2020-09-01,2020-09-01,1,"Agriculture, forestry and fishing",33351,2020,9,36532.986008986925,37312.375,-1863.7648723752427
153,2020-10-01,2020-10-01,1,"Agriculture, forestry and fishing",37026,2020,10,38238.42779820261,37693.833333333336,-143.41039012285182
154,2020-11-01,2020-11-01,1,"Agriculture, forestry and fishing",41267,2020,11,39928.50852736928,38110.666666666664,1563.8661192332947
155,2020-12-01,2020-12-01,1,"Agriculture, forestry and fishing",44804,2020,12,40579.47727736928,38444.75,2234.418025357765
156,2021-01-01,2021-01-01,1,"Agriculture, forestry and fishing",42883,2021,1,39652.52936070261,38706.208333333336,1329.5328626645642
157,2021-02-01,2021-02-01,1,"Agriculture, forestry and fishing",41912,2021,2,39442.61790236928,38913.041666666664,1144.2387371878722
158,2021-03-01,2021-03-01,1,"Agriculture, forestry and fishing",41233,2021,3,38777.34446486928,39145.08333333332,506.20193372059293
159,2021-04-01,2021-04-01,1,"Agriculture, forestry and fishing",39888,2021,4,39608.12311070262,39320.0,1366.8924080530487
160,2021-05-01,2021-05-01,1,"Agriculture, forestry and fishing",36589,2021,5,39414.433006535946,39326.75,1205.8413142630816
161,2021-06-01,2021-06-01,1,"Agriculture, forestry and fishing",35794,2021,6,38553.440819035946,39250.125,380.2567594192442
162,2021-07-01,2021-07-01,1,"Agriculture, forestry and fishing",36830,2021,7,38664.90512663399,39192.291666666664,529.9294580236456
163,2021-08-01,2021-08-01,1,"Agriculture, forestry and fishing",36533,2021,8,38717.20659722222,39152.333333333336,623.2692799592405
164,2021-09-01,2021-09-01,1,"Agriculture, forestry and fishing",36613,2021,9,39794.986008986925,39113.33333333333,1744.942116441256
165,2021-10-01,2021-10-01,1,"Agriculture, forestry and fishing",37962,2021,10,39174.42779820261,39072.75,1171.1527075966005
166,2021-11-01,2021-11-01,1,"Agriculture, forestry and fishing",40493,2021,11,39154.50852736928,39025.62500000001,1200.8844557181292
167,2021-12-01,2021-12-01,1,"Agriculture, forestry and fishing",43739,2021,12,39514.47727736928,39028.62500000001,1613.384244808898
168,2022-01-01,2022-01-01,1,"Agriculture, forestry and fishing",42560,2022,1,39329.52936070261,39050.62499999999,1483.835924405881
169,2022-02-01,2022-02-01,1,"Agriculture, forestry and fishing",41276,2022,2,38806.61790236928,39079.333333333336,1019.1687075935479
170,2022-03-01,2022-03-01,1,"Agriculture, forestry and fishing",40933,2022,3,38477.34446486928,39092.83333333333,750.948795605058
171,2022-04-01,2022-04-01,1,"Agriculture, forestry and fishing",39214,2022,4,38934.12311070262,39061.541666666664,1271.5470257175475
172,2022-05-01,2022-05-01,1,"Agriculture, forestry and fishing",36132,2022,5,38957.433006535946,39023.166666666664,1361.3935450167846
173,2022-06-01,2022-06-01,1,"Agriculture, forestry and fishing",36323,2022,6,39082.440819035946,38936.833333333336,1555.5961892689302
174,2022-07-01,2022-07-01,1,"Agriculture, forestry and fishing",36829,2022,7,38663.90512663399,38753.08333333333,1208.8442014250104
175,2022-08-01,2022-08-01,1,"Agriculture, forestry and fishing",37223,2022,8,39407.20659722222,38525.208333333336,2026.4369108398023
176,2022-09-01,2022-09-01,1,"Agriculture, forestry and fishing",36247,2022,9,39428.986008986925,38304.70833333333,2124.924429660663
177,2022-10-01,2022-10-01,1,"Agriculture, forestry and fishing",37577,2022,10,38789.42779820261,38083.958333333336,1564.3848920358869
178,2022-11-01,2022-11-01,1,"Agriculture, forestry and fishing",39957,2022,11,38618.50852736928,37754.45833333334,1474.6721623174453
179,2022-12-01,2022-12-01,1,"Agriculture, forestry and fishing",42203,2022,12,37978.47727736928,37322.625,917.9005523685628
180,2023-01-01,2023-01-01,1,"Agriculture, forestry and fishing",39686,2023,1,36455.52936070261,36913.583333333336,-519.8807729731052
181,2023-02-01,2023-02-01,1,"Agriculture, forestry and fishing",38681,2023,2,36211.61790236928,36500.58333333333,-676.8719189358744
182,2023-03-01,2023-03-01,1,"Agriculture, forestry and fishing",38236,2023,3,35780.34446486928,36203.958333333336,-1019.6205418223835
183,2023-04-01,2023-04-01,1,"Agriculture, forestry and fishing",36613,2023,4,36333.12311070262,36036.125,-376.8565751581191
184,2023-05-01,2023-05-01,1,"Agriculture, forestry and fishing",30825,2023,5,33650.433006535946,35822.25,-2968.2369808594594
185,2023-06-01,2023-06-01,1,"Agriculture, forestry and fishing",31266,2023,6,34025.440819035946,35590.583333333336,-2500.7283129988136
186,2023-07-01,2023-07-01,1,"Agriculture, forestry and fishing",32069,2023,7,33903.90512663399,35437.083333333336,-2528.6823108207755
187,2023-08-01,2023-08-01,1,"Agriculture, forestry and fishing",32071,2023,8,34255.20659722222,35305.208333333336,-2082.80932836602
188,2023-09-01,2023-09-01,1,"Agriculture, forestry and fishing",34280,2023,9,37461.986008986925,35157.625,1219.459902056522
189,2023-10-01,2023-10-01,1,"Agriculture, forestry and fishing",35516,2023,10,36728.42779820261,35042.79166666666,582.2543772857534
190,2023-11-01,2023-11-01,1,"Agriculture, forestry and fishing",36885,2023,11,35546.50852736928,35092.833333333336,-502.5141890267332
191,2023-12-01,2023-12-01,1,"Agriculture, forestry and fishing",39715,2023,12,35490.47727736928,35245.625,-460.6660575505084
192,2024-01-01,2024-01-01,1,"Agriculture, forestry and fishing",38490,2024,1,35259.52936070261,35388.791666666664,-593.0713799132209
193,2024-02-01,2024-02-01,1,"Agriculture, forestry and fishing",36712,2024,2,34242.61790236928,35546.833333333336,-1510.8389407204231
194,2024-03-01,2024-03-01,1,"Agriculture, forestry and fishing",36663,2024,3,34207.34446486928,35550.62499999999,-1446.4245109096373
195,2024-04-01,2024-04-01,1,"Agriculture, forestry and fishing",35430,2024,4,35150.12311070262,35427.458333333336,-403.459703710505
196,2024-05-01,2024-05-01,1,"Agriculture, forestry and fishing",33209,2024,5,36034.433006535946,35321.291666666664,581.5001324969489
197,2024-06-01,2024-06-01,1,"Agriculture, forestry and fishing",32549,2024,6,35308.440819035946,35223.25,-43.40973755229061
198,2024-07-01,2024-07-01,1,"Agriculture, forestry and fishing",34222,2024,7,36056.90512663399,35072.291666666664,806.5333757577318
199,2024-08-01,2024-08-01,1,"Agriculture, forestry and fishing",33711,2024,8,35895.20659722222,34894.166666666664,746.6745864554468
200,2024-09-01,2024-09-01,1,"Agriculture, forestry and fishing",32731,2024,9,35912.986008986925,34718.75,866.6128956120592
201,2024-10-01,2024-10-01,1,"Agriculture, forestry and fishing",34109,2024,10,35321.42779820261,,377.4852010090035
202,2024-11-01,2024-11-01,1,"Agriculture, forestry and fishing",35744,2024,11,34405.50852736928,,-435.78616017466265
203,2024-12-01,2024-12-01,1,"Agriculture, forestry and fishing",38503,2024,12,34278.47727736928,,-460.00924507201125
204,2025-01-01,2025-01-01,1,"Agriculture, forestry and fishing",36079,2025,1,32848.52936070261,,-1787.042516650945
205,2025-02-01,2025-02-01,1,"Agriculture, forestry and fishing",34848,2025,2,32378.617902369282,,-2153.983075925309
206,2025-03-01,2025-03-01,1,"Agriculture, forestry and fishing",34317,2025,3,31861.34446486928,,-2568.2657975006186
0,2008-01-01,2008-01-01,2,Mining,5042,2008,1,5402.535398794935,,-178.06070831005218
1,2008-02-01,2008-02-01,2,Mining,6407,2008,2,6255.433836294935,,578.9254740000324
2,2008-03-01,2008-03-01,2,Mining,6566,2008,3,6630.936440461602,,858.5171969020021
3,2008-04-01,2008-04-01,2,Mining,6671,2008,4,6592.670815461602,,724.338971470198
4,2008-05-01,2008-05-01,2,Mining,6889,2008,5,6712.337482128268,,748.0816010845429
5,2008-06-01,2008-06-01,2,Mining,7008,2008,6,6968.405190461601,,908.1985292563495
6,2008-07-01,2008-07-01,2,Mining,7366,2008,7,7075.449001736111,6547.416666666666,919.2437385368657
7,2008-08-01,2008-08-01,2,Mining,6016,2008,8,5932.419589971405,6564.416666666666,-319.86018348226844
8,2008-09-01,2008-09-01,2,Mining,6278,2008,9,6548.544589971405,6516.374999999999,200.0792186448225
9,2008-10-01,2008-10-01,2,Mining,7383,2008,10,7206.459877961602,6456.041666666666,761.6651098425527
10,2008-11-01,2008-11-01,2,Mining,6526,2008,11,6490.022377961601,6391.0,-51.27984099167952
11,2008-12-01,2008-12-01,2,Mining,6017,2008,12,6353.785398794935,6315.666666666666,-284.2424572021446
12,2009-01-01,2009-01-01,2,Mining,5842,2009,1,6202.535398794935,6218.083333333334,-532.476016945533
13,2009-02-01,2009-02-01,2,Mining,6015,2009,2,5863.433836294935,6162.208333333333,-968.8566051496964
14,2009-03-01,2009-03-01,2,Mining,5805,2009,3,5869.936440461602,6149.666666666667,-1059.9619272979126
15,2009-04-01,2009-04-01,2,Mining,5984,2009,4,5905.670815461602,6083.208333333333,-1122.19033812805
16,2009-05-01,2009-05-01,2,Mining,6015,2009,5,5838.337482128268,6012.541666666667,-1287.8590969927327
17,2009-06-01,2009-06-01,2,Mining,6074,2009,6,6034.405190461601,5989.583333333333,-1190.508575201853
18,2009-07-01,2009-07-01,2,Mining,5958,2009,7,5667.449001736111,6016.124999999999,-1656.562895606403
19,2009-08-01,2009-08-01,2,Mining,6083,2009,8,5999.419589971405,6079.166666666666,-1424.0613822893201
20,2009-09-01,2009-09-01,2,Mining,5910,2009,9,6180.544589971405,6140.25,-1342.753616428121
21,2009-10-01,2009-10-01,2,Mining,6156,2009,10,5979.459877961602,6212.208333333334,-1643.9699496508047
22,2009-11-01,2009-11-01,2,Mining,6057,2009,11,6021.022377961601,6305.166666666666,-1702.8093250380407
23,2009-12-01,2009-12-01,2,Mining,5935,2009,12,6271.785398794935,6405.916666666666,-1552.6616159132527
24,2010-01-01,2010-01-01,2,Mining,6561,2010,1,6921.535398794935,6516.249999999999,-1003.6704071292306
25,2010-02-01,2010-02-01,2,Mining,6809,2010,2,6657.433836294935,6642.625,-1368.592303125054
26,2010-03-01,2010-03-01,2,Mining,6477,2010,3,6541.936440461602,6763.541666666667,-1584.8818931360474
27,2010-04-01,2010-04-01,2,Mining,7039,2010,4,6960.670815461602,6875.041666666667,-1266.8113312717442
28,2010-05-01,2010-05-01,2,Mining,7191,2010,5,7014.337482128268,7009.583333333334,-1313.5676259480542
29,2010-06-01,2010-06-01,2,Mining,7316,2010,6,7276.405190461601,7253.458333333333,-1151.5597816354293
30,2010-07-01,2010-07-01,2,Mining,7364,2010,7,7073.449001736111,7563.499999999999,-1454.0803559771393
31,2010-08-01,2010-08-01,2,Mining,7710,2010,8,7626.419589971405,7846.666666666667,-1000.0374083792176
32,2010-09-01,2010-09-01,2,Mining,7185,2010,9,7455.544589971405,8154.291666666666,-1269.050817707548
33,2010-10-01,2010-10-01,2,Mining,7557,2010,10,7380.459877961602,8469.625,-1441.324505068419
34,2010-11-01,2010-11-01,2,Mining,7885,2010,11,7849.022377961601,8767.625,-1068.8315517152241
35,2010-12-01,2010-12-01,2,Mining,9960,2010,12,10296.785398794935,9070.708333333334,1284.1624672336293
